JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			58	20180619	152 MITTERAND 1% PRORAT	0,00	242,76			20190507		
AN	A NOUVEAU	AN000001	20200101	41100000	COMPTE COLLECTIF CLIENTS	05004000	CLIENT G	25	20180620	MAITRE SUPERMAN/SCI CLIENT G	0,00	112500,00			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			59	20180620	2654 ATHENA PRORATA 1%	0,00	213,89			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			60	20180622	4397 LEGOLAS	0,00	318,44			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01500002	SARKOZY	65.1	20180630	SARKOZY  SIT.14	0,00	11463,73			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01500002	SARKOZY	65.1	20180630	SARKOZY  SIT.14 RG	0,00	603,35			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01800003	PINKMAN	63	20180630	386 PINKMAN 2018 N° 1	0,00	385,20			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01800003	PINKMAN	64	20180630	387 PINKMAN SOLDE JURIDIQUE	0,00	986,36			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00600002	SPIDERMAN	69	20180712	27618.18 SPIDERMAN	0,00	16280,04			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			70	20180713	9705 BOROMIR 1% PRORATA	0,00	179,76			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			71	20180715	9703 BOROMIR 1% PRORATA	0,00	88,81			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			72	20180716	162 MITTERAND 1% PRORAT	0,00	261,66			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			73	20180716	4409 LEGOLAS	0,00	347,87			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			74	20180717	3105 ATHENA  1% PRORATA	0,00	39,41			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			75	20180717	3085 ATHENA  1% PRORATA	0,00	62,16			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01200001	NAPOLEON I	76	20180718	SIT.1807010 NAPOLEON I 5 % RG	0,00	1125,61			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01900000	SABINI	77	20180718	183 SABINI RG 5%	0,00	466,27			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			77	20180718	183 SABINI 1% PRORATA	0,00	94,20			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01500005	CHIRAC	78	20180719	2018-07-010 CHIRAC JY	0,00	270,00			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			80	20180720	29192 SIT.4 APPOLLON 1% PRORATA	0,00	229,74			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			81	20180723	2.0528-07 SCHRADER  1% PRORATA	0,00	292,16			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			82	20180730	4432 LEGOLAS CTE PRORATA N°1	1157,56	0,00			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			86	20180814	9757 BOROMIR	0,00	7,15			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00200004	TULIP	88	20180827	DECPTE N° 4 TULIP 5 % RG	0,00	1202,54			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			88	20180827	DECPTE N° 4 TULIP 1% PRORATA	0,00	242,93			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			91	20180911	9764 BOROMIR 1% PRORATA	0,00	106,85			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			92	20180911	SIT.2.0668.08 SCHRADER 1%PRORAT	0,00	548,49			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			93	20180915	176 MITTERAND 1% PRORAT	0,00	457,36			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00100001	ATHENA	95	20180918	4118 ATHENA	0,00	8893,97			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			95	20180918	4118 ATHENA 1% PRORATA	0,00	89,83			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			94	20180918	4119 ATHENA  1% PRORATA	0,00	30,61			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			96	20180927	4477 LEGOLAS 1% PRORATA	0,00	83,78			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			97	20180927	4476 LEGOLAS  1% PRORATA	0,00	230,13			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01800003	PINKMAN	99	20180930	529 PINKMAN 2018 N° 2	0,00	642,00			20190507		
AN	A NOUVEAU	AN000001	20200101	41100000	COMPTE COLLECTIF CLIENTS	05000100	CLIENT A	40	20181001	MAITRE SUPERMAN/CLIENT A	0,00	182370,00			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			105.2	20181002	TULIP  SIT.1 1%	0,00	96,60			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			102	20181012	9801 BOROMIR  1% PRORATA	0,00	46,15			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	02100100	CASSIDY	103	20181015	2018-10.573 CASSIDY	0,00	8790,00			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00300002	LEGOLAS	104	20181022	 LEGOLAS LOT N°9 ACTE N°2 RG	0,00	1669,91			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			104	20181022	 LEGOLAS  LOT N°9 ACTE N°2	0,00	253,57			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			104.1	20181022	4492 LEGOLAS CTE PRORATA N°2	3432,76	0,00			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01000000	APPOLLON	105.3	20181030	APPOLLON SIT.5	0,00	10435,49			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			105.3	20181030	APPOLLON SIT.5 1% PRORATA	0,00	105,41			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00100001	ATHENA	44	20181115	FRE 4118 ATHENA	8805,03	0,00			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00300002	LEGOLAS	108	20181124	4529 LEGOLAS 5 % RG	0,00	515,51			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			108	20181124	4529 LEGOLAS PRORATA 1%	0,00	104,14			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			109	20181124	4523 LEGOLAS  1% PRORATA	0,00	83,75			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01200001	NAPOLEON I	109.1	20181127	NAPOLEON I SIT.3 RG	0,00	1406,50			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			109.2	20181130	BOROMIR SIT.7 1% PRORATA	0,00	3,83			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00300003	BOROMIR	37	20181231	RG 5% AU 31/12/18	0,00	190,91			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01500004	MITTERAND	117	20181231	MITTERAND SIT.8	0,00	4692,12			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01800003	PINKMAN	114	20181231	673 PINKMAN 2018 N° 3	0,00	642,00			20190507		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			117	20181231	MITTERAND SIT.8	0,00	47,40			20190507		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01000000	APPOLLON	2	20190101	29/09 APPOLLON CHQ 7881 31/1/20	0,00	2280,96			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01000000	APPOLLON	2	20190101	29/09 APPOLLON REPRISE RG	0,00	1283,04			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	02100300	DEPARDIEU	4	20190101	PROV.FD ROULEMENT DEPARDIEU	0,00	1339,50			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	02100300	DEPARDIEU	5	20190101	PROV.CHARGES 01/10/18 DEPARDIEU	0,00	2031,34			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	02100300	DEPARDIEU	6	20190101	PROV.CHARGES 01/01/19 DEPARDIEU	0,00	3040,01			20200612		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			2	20190101	LOT 12 APPOLLON 29/09/018	0,00	23,04			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00300004	SPARROW	4.3	20190116	DEF 04/018 SPARROW due	0,00	1636,36			20200612		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			4.3	20190116	DEF 04/018 SPARROW	0,00	16,52			20200612		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			2	20190118	9914 SIT.8 BOROMIR	0,00	46,00			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01500002	SARKOZY	4.4	20190131	DEF SARKOZY	0,00	-21480,01			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01500002	SARKOZY	4.4	20190131	DEF SARKOZY RG 5%	0,00	343,16			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	02100300	DEPARDIEU	12	20190211	PROV.CH.RETENUE/VENTE CLIENT D	6410,85	0,00			20200612		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			9	20190222	9955 BOROMIR	0,00	49,18			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01200001	NAPOLEON I	10	20190228	SIT.4 NAPOLEON I RG	0,00	1043,89			20200612		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			10	20190228	SIT.4 NAPOLEON I PRORATA 1%	0,00	210,88			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	02100300	DEPARDIEU	16	20190401	DEPARDIEU - PROV.CHARGES 2T19	0,00	2340,76			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01200001	NAPOLEON I	14	20190423	1904039 NAPOLEON I RG	0,00	562,68			20200612		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			14	20190423	1904039 NAPOLEON I	0,00	586,91			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01900000	SABINI	15	20190425	DGD SABINI RG	0,00	303,64			20200612		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			15	20190425	DGD SABINI	0,00	61,35			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01800003	PINKMAN	16.1	20190430	266 PINKMAN 2018 N° 4	0,00	1926,00			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01000000	APPOLLON	16.7	20190531	DEF MENUISIER MENUIS.EXTER	0,00	6672,54			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01000000	APPOLLON	16.8	20190531	DEF MENUISIER PORTES GARAGE	0,00	570,24			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01800003	PINKMAN	16.4	20190531	338 PINKMAN SOLDE 2018	0,00	179,76			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01800003	PINKMAN	16.5	20190531	339 PINKMAN SOLDE TI + FRES 2018	0,00	611,58			20200612		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			16.7	20190531	DEF MENUISIER MENUIS.EXTER	0,00	67,41			20200612		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			16.8	20190531	DEF MENUISIER PORTES GARAGE	0,00	5,76			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00600002	SPIDERMAN	19	20190618	7854 SPIDERMAN ACPTE	10000,00	0,00			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	02100300	DEPARDIEU	24	20190621	REGUL.CHARGES 2018	875,12	0,00			20200612		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			18	20190627	DEFINITIF SCHRADER	0,00	81,75			20200612		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			19	20190629	4735 SIT.11 LEGOLAS	0,00	170,63			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01800003	PINKMAN	19.1	20190630	395 PINKMAN JURIDIQUE 2018	0,00	996,42			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	02100300	DEPARDIEU	26	20190701	DEPARDIEU - PROV.CHARGES 3T19	0,00	1598,20			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01400000	OBAMA	20	20190730	35061 OBAMA CHQ 877 02/01	0,00	1604,88			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	01800003	PINKMAN	21.5	20190930	528 PINKMAN 2019 N°1	0,00	513,60			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00100003	SAINT LOUIS	22.3	20191001	555 SAINT LOUIS RGLT 04/020	0,00	3480,08			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	02100300	DEPARDIEU	33	20191001	DEPARDIEU - PROV.CHARGES 4T19	0,00	1598,22			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00500000	BARBOSSA	23.2	20191112	79010 BARBOSSA DUE 31/12	0,00	970,00			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00500000	BARBOSSA	23.3	20191112	79009 BARBOSSA DUE AU 31/12	0,00	6246,52			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00300002	LEGOLAS	23	20191126	4841 SIT.12 LEGOLAS PLAT-PEINTUR	0,00	7864,15			20200612		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			23	20191126	4841 SIT.12 LEGOLAS	0,00	79,44			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00200004	TULIP	23.4	20191130	DEF TULIP PORTAILS due	0,00	5621,50			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00200004	TULIP	23.4	20191130	DEF TULIP PORTAILS RG 5%	0,00	295,87			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00200004	TULIP	23.6	20191130	DEF TULIP SERRURERIE  due	0,00	9002,91			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00200004	TULIP	23.6	20191130	DEF TULIP SERRURERIE RG 5%	0,00	473,84			20200612		
AN	A NOUVEAU	AN000001	20200101	40100000	COMPTE COLLECTIF FOURNISSEURS	00500000	BARBOSSA	23.5	20191130	79118 BARBOSSA DUE AU 31/12	0,00	1113,48			20200612		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			23.4	20191130	DEF TULIP PORTAILS	0,00	59,77			20200612		
AN	A NOUVEAU	AN000001	20200101	46720800	COMPTE PRORATA 1% CREDITEUR			23.6	20191130	DEF TULIP SERRURERIE	0,00	95,73			20200612		
